arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,encoding_skip,bound_n2_relu_using_zonotope,bound_n2_non_relu_using_zonotope,how_much_faster,solve_status_standard,solve_status_transfer
cnn1,occ,"3,3,5",0,3,191.10,1800.09,15.967411,16.021949,-0.284869,0.280169,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,9.42x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,1800.04,15.967411,16.021949,0.000000,-0.283485,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,9.42x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,1800.05,15.967411,16.021949,0.000000,-0.283173,,rga0.0,,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,9.42x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,1800.07,15.967411,16.021949,0.000000,7.313621,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,9.42x,OPTIMAL,TIME_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"3,3,5",0,4,367.16,1800.05,10.867350,10.967109,-3.257559,1.020441,32,rga0.0,0,yes,no+zono,no,no,4.90x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,4,367.16,1800.10,10.867350,10.967109,1.878922,44.867807,32,rga0.0,0,yes,no_n2_xp_encoding+zono,no,no,4.90x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,4,367.16,1800.02,10.867350,10.967109,0.000000,7.195002,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,4.90x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,4,367.16,1800.03,10.867350,10.967109,0.000000,3.249796,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,4.90x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,4,367.16,1800.07,10.867350,10.967109,0.000000,5.727383,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,yes,4.90x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,4,367.16,1800.03,10.867350,10.967109,0.000000,2.250864,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,4.90x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,4,367.16,1800.04,10.867350,10.967109,0.000000,6.231313,,rga0.0,,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,4.90x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,4,367.16,1800.41,10.867350,10.967109,0.000000,7.209256,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,4.90x,OPTIMAL,TIME_LIMIT
cnn1,occ,"3,3,5",0,4,367.16,1800.04,10.867350,10.967109,0.000000,7.195002,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,4.90x,OPTIMAL,TIME_LIMIT
