arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_advstd,delta_standard_lower_bound,delta_standard_upper_bound,delta_advstd_lower_bound,delta_advstd_upper_bound,delta_error,mip_start,branch_priorities,lp_basis,bound_tightening,var_hint,zono_bounds,n1_probe,relax_threshold,relax_mode,sibling_gate,elim_org,elim_pert,relaxed_org,relaxed_pert,sibgate_both_thin,sibgate_one_thin_org_dropped,sibgate_one_thin_pert_dropped,seed,how_much_faster,lp_optimization_time,time_advstd_with_lp,how_much_faster_with_lp,gap_standard,gap_advstd,solve_status_standard,solve_status_advstd,standard_file,advstd_file
3x50,linf,0.1,1,7,3611.58,3618.77,7.340390,12.594712,7.443268,12.813996,0.219284,no,off,no,yes,prev_pgd,yes,off,0.5,btpr,no,elim not activated,elim not activated,12,9,,,,4,,0.00,3618.77,1.00x,5.254322,5.370728,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912936899417_3x50_linf_0.1_ctag1__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag2.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63913025515038_n2_3x50_linf_0.1_ctag1_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.5_zonoBounds_varHintPrevPGD_seed4_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag2.txt
3x50,linf,0.1,1,7,3611.58,3618.13,7.340390,12.594712,7.140880,12.614613,0.019901,no,off,no,yes,prev_pgd,no,off,0.25,btpr,yes,elim not activated,elim not activated,7,7,7,0,0,4,,0.00,3618.13,1.00x,5.254322,5.473733,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912936899417_3x50_linf_0.1_ctag1__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag2.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63914754674622_n2_3x50_linf_0.1_ctag1_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.25_SibGate_varHintPrevPGD_seed4_both7_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag2.txt
3x50,linf,0.1,1,7,3611.58,3621.04,7.340390,12.594712,7.060279,12.658868,0.064156,no,off,no,yes,prev_pgd,no,off,0.0,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,,0.00,3621.04,1.00x,5.254322,5.598589,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912936899417_3x50_linf_0.1_ctag1__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag2.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63914754036755_n2_3x50_linf_0.1_ctag1_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.0_SibGate_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag2.txt
3x50,linf,0.1,1,7,3611.58,3611.68,7.340390,12.594712,6.955277,12.611498,0.016786,no,off,no,yes,prev_pgd,no,off,0.5,btpr,yes,elim not activated,elim not activated,9,9,9,0,0,4,,0.00,3611.68,1.00x,5.254322,5.656221,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912936899417_3x50_linf_0.1_ctag1__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag2.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63914783080653_n2_3x50_linf_0.1_ctag1_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.5_SibGate_varHintPrevPGD_seed4_both9_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag2.txt
3x50,linf,0.1,1,7,3611.58,3621.55,7.340390,12.594712,6.876961,12.620731,0.026019,no,off,no,yes,prev_pgd,yes,off,0.0,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,,0.00,3621.55,1.00x,5.254322,5.743771,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912936899417_3x50_linf_0.1_ctag1__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag2.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63914786735392_n2_3x50_linf_0.1_ctag1_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.0_SibGate_zonoBounds_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag2.txt
3x50,linf,0.1,1,7,3611.58,3612.91,7.340390,12.594712,6.885636,12.768557,0.173846,no,off,no,yes,prev_pgd,yes,off,0.25,btpr,yes,elim not activated,elim not activated,10,7,11,0,0,4,,0.00,3612.91,1.00x,5.254322,5.882922,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912936899417_3x50_linf_0.1_ctag1__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag2.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63914786868139_n2_3x50_linf_0.1_ctag1_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.25_SibGate_zonoBounds_varHintPrevPGD_seed4_both11_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag2.txt
3x50,linf,0.1,1,7,3611.58,3615.70,7.340390,12.594712,6.876836,12.802848,0.208136,no,off,no,yes,prev_pgd,yes,off,0.0,btpr,no,elim not activated,elim not activated,0,0,,,,4,,0.00,3615.70,1.00x,5.254322,5.926011,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912936899417_3x50_linf_0.1_ctag1__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag2.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63913021928201_n2_3x50_linf_0.1_ctag1_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.0_zonoBounds_varHintPrevPGD_seed4_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag2.txt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3x50,linf,0.1,1,9,3613.16,3614.20,8.647699,12.755120,9.315294,22.933224,10.178104,no,off,no,yes,prev_pgd,yes,off,0.5,btpr,no,elim not activated,elim not activated,12,9,,,,4,,0.00,3614.20,1.00x,4.107421,13.617930,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912936899417_3x50_linf_0.1_ctag1__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag2.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63913025515038_n2_3x50_linf_0.1_ctag1_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.5_zonoBounds_varHintPrevPGD_seed4_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag2.txt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
