arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,encoding_skip,bound_n2_relu_using_zonotope,bound_n2_non_relu_using_zonotope,how_much_faster,solve_status_standard,solve_status_transfer
cnn1,occ,"1,1,5",1,3,87.73,39.09,5.399273,5.451446,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,2.24x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,3,87.73,37.65,5.399273,5.451446,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+linkN2xpN2x,yes,no,2.33x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,3,87.73,37.30,5.399273,5.451446,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,yes,no,2.35x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,3,87.73,35.16,5.399273,5.451446,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,yes,2.50x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,3,87.73,35.04,5.399273,5.451446,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer_no_bin+zono,yes,yes,2.50x,,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,5,101.80,63.64,7.196610,7.197024,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.60x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,5,101.80,51.76,7.196610,7.197024,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.97x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,5,101.80,50.40,7.196610,7.197024,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,no,2.02x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,5,101.80,49.87,7.196610,7.197024,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,yes,no,2.04x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,5,101.80,45.75,7.196610,7.197024,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp,yes,no,2.23x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,5,101.80,44.66,7.196610,7.197024,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,yes,2.28x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,5,101.80,43.42,7.196610,7.197024,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer_no_bin+zono,yes,yes,2.34x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,5,101.80,27.11,7.196610,7.197024,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+linkN2xpN2x,yes,no,3.76x,,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"3,3,5",0,3,191.10,131.27,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,no,no,1.46x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,129.32,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,no,yes,1.48x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,121.38,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.57x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,116.95,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,yes,1.63x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,98.62,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.94x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,86.73,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.0+zono,yes,no,2.20x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,86.20,15.967411,16.021949,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+linkN2xpN2x,yes,no,2.22x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,85.67,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.05+zono,yes,no,2.23x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,84.81,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp,yes,no,2.25x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,84.43,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.5+zono,yes,no,2.26x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,83.07,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.1+zono,yes,no,2.30x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,80.45,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,no,2.38x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,73.16,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,yes,no,2.61x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,71.11,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,yes,2.69x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,69.06,15.967411,16.021949,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer_no_bin+zono,yes,yes,2.77x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,45.58,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer,no,no,4.19x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,30.13,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+pruneTol0.5+zono,no,yes,6.34x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,29.41,15.967411,16.021949,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+pruneTol0.5+zono,no,no,6.50x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,3,191.10,12.02,15.967411,16.021949,10.513278,10.513278,32,rga0.0,0,yes,no_n1_encoding,no,no,15.90x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,3,191.10,7.83,15.967411,16.021949,11.351628,11.351628,32,rga0.0,0,yes,no_n1_encoding+zono,yes,yes,24.39x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,3,191.10,7.50,15.967411,16.021949,11.351628,11.351628,32,rga0.0,0,yes,no_n1_encoding+zono,yes,no,25.49x,OPTIMAL,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"3,3,5",0,4,367.16,325.71,10.867350,10.967109,0.262263,0.264643,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.13x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,318.75,10.867350,10.967109,0.262263,0.264643,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp,yes,no,1.15x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,314.79,10.867350,10.967109,0.262263,0.264643,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.5+zono,yes,no,1.17x,OPTIMAL,OPTIMAL
