arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,no_n1_bin_relax_on_n2,no_n1_encoding,how_much_faster,solve_status_standard,solve_status_transfer
cnn1,patch,"1,14,14,3",0,5,62.33,553.31,13.796666,13.907650,0.027566,0.027566,32,rga0.15,736,no,no,no,8.88x,,
cnn1,patch,"1,14,14,3",0,5,62.33,702.64,13.796666,13.907650,0.001918,0.001918,32,rga0.025,633,no,no,no,11.27x,,
cnn1,patch,"1,14,14,3",0,5,62.33,826.51,13.796666,13.907650,0.029213,0.029446,48,1.2,738,no,no,no,13.26x,,
cnn1,patch,"1,14,14,3",0,5,62.33,985.31,13.796666,13.907650,0.027529,0.027799,32,rga0.1,718,no,no,no,15.81x,,
cnn1,patch,"1,14,14,3",0,5,62.33,1150.13,13.796666,13.907650,0.029212,0.029217,32,1.2,738,no,no,no,18.45x,,
cnn1,patch,"1,14,14,3",0,5,62.33,1308.42,13.796666,13.907650,-0.023409,-0.023409,32,rga0.05,356,no,yes,no,20.99x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,5,62.33,1325.78,13.796666,13.907650,0.001918,0.001918,32,rga0.01,633,no,no,no,21.27x,,
cnn1,patch,"1,14,14,3",0,5,62.33,1366.69,13.796666,13.907650,-0.023409,-0.023409,32,rga0.05,356,yes,yes,no,21.93x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,5,62.33,1381.42,13.796666,13.907650,-0.023409,-0.023409,32,rga0.025,356,no,yes,no,22.16x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,5,62.33,1392.99,13.796666,13.907650,-0.023409,-0.023409,32,rga0.025,356,yes,yes,no,22.35x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,5,62.33,1815.92,13.796666,13.907650,3.809953,32.929951,32,inf,776,no,no,no,29.14x,,
cnn1,patch,"1,14,14,3",0,5,62.33,1816.92,13.796666,13.907650,0.727513,3.884927,32,rga0.75,748,no,no,no,29.15x,,
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",1,3,94.60,101.53,12.109548,12.109548,2.748398,2.748452,32,rga0.05,356,yes,no,yes+zono,1.07x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,3,94.60,392.61,12.109548,12.109548,0.036792,0.036792,32,rga0.1,718,no,no,no,4.15x,,
cnn1,patch,"1,14,14,3",1,3,94.60,402.58,12.109548,12.109548,0.038169,0.038454,48,1.2,738,no,no,no,4.26x,,
cnn1,patch,"1,14,14,3",1,3,94.60,407.85,12.109548,12.109548,0.036790,0.036791,48,0.5,736,no,no,no,4.31x,,
cnn1,patch,"1,14,14,3",1,3,94.60,411.14,12.109548,12.109548,0.036790,0.036791,32,0.5,736,no,no,no,4.35x,,
cnn1,patch,"1,14,14,3",1,3,94.60,411.78,12.109548,12.109548,0.038169,0.038454,32,1.2,738,no,no,no,4.35x,,
cnn1,patch,"1,14,14,3",1,3,94.60,420.84,12.109548,12.109548,0.036790,0.036791,32,rga0.15,736,no,no,no,4.45x,,
cnn1,patch,"1,14,14,3",1,3,94.60,425.13,12.109548,12.109548,0.016024,0.016024,32,rga0.025,633,no,no,no,4.49x,,
cnn1,patch,"1,14,14,3",1,3,94.60,485.72,12.109548,12.109548,0.016024,0.016024,32,rga0.01,633,no,no,no,5.13x,,
cnn1,patch,"1,14,14,3",1,3,94.60,582.16,12.109548,12.109548,0.016028,0.016028,32,rga0.05,650,no,no,no,6.15x,,
cnn1,patch,"1,14,14,3",1,3,94.60,1812.34,12.109548,12.109548,1.331851,1.536085,32,rga0.75,748,no,no,no,19.16x,,
cnn1,patch,"1,14,14,3",1,3,94.60,1820.51,12.109548,12.109548,3.814792,31.687293,32,inf,776,no,no,no,19.24x,,
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",1,4,113.19,119.30,9.540657,9.540657,3.417367,3.417461,32,rga0.0,0,yes,no,yes+zono,1.05x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,4,113.19,693.80,9.540657,9.540657,0.049239,0.049239,32,0.5,736,no,no,no,6.13x,,
cnn1,patch,"1,14,14,3",1,4,113.19,693.98,9.540657,9.540657,0.049239,0.049239,48,0.5,736,no,no,no,6.13x,,
cnn1,patch,"1,14,14,3",1,4,113.19,767.44,9.540657,9.540657,0.041210,0.041210,32,rga0.01,633,no,no,no,6.78x,,
cnn1,patch,"1,14,14,3",1,4,113.19,821.15,9.540657,9.540657,0.041211,0.041211,32,rga0.025,633,no,no,no,7.25x,,
